Reported Date,Total Number of Dead and Missing,Coordinates
"June 1, 2015",1,"19.075158, 8.024068"
"June 1, 2015",1,"19.075158, 8.02407"
"June 1, 2015",2,"20.084053, 10.741789"
"July 1, 2015",1,"31.62835, -111.75955"
"July 1, 2015",1,"31.59772, -111.89503"
"July 2, 2015",1,"32.92525, -112.80985"
"July 4, 2015",1,"32.172, -112.9105"
"July 6, 2015",1,"16.121094, 32.310913"
"July 2, 2015",1,"19.421016, -98.142549"
"July 5, 2015",2,"16.357811, -94.758468"
"July 5, 2015",2,"17.1602655, -97.33124"
"July 9, 2015",9,"31.6534, 31.2891"
"July 7, 2015",1,"26.0342774, -98.331911"
"July 7, 2015",1,"50.9143, 1.80038"
"July 7, 2015",18,"37.3511, 27.0371"
"July 9, 2015",1,"32.05262, -112.47898"
"July 9, 2015",12,"37.779414, 26.35341"
"July 10, 2015",30,"32.75, 13.7167"
"July 11, 2015",1,"32.10445, -112.881117"
"July 13, 2015",1,"51.0179, 1.47455"
"July 14, 2015",1,"32.187417, -112.812867"
"July 15, 2015",1,"32.866059, -112.762808"
"July 15, 2015",1,"35.7465, 14.4141"
"July 15, 2015",1,"46.186966, 19.991362"
"July 15, 2015",100,"32.86529572, 13.092461"
"July 16, 2015",6,"39.2836, 26.5057"
"July 16, 2015",1,"50.9513, 1.85869"
"July 16, 2015",1,"31.9741, -112.88585"
"July 19, 2015",1,"49.3824, 2.10938"
"July 19, 2015",1,"-4.047485, 39.756104"
"July 21, 2015",3,"28.7053102, -100.514148"
"July 23, 2015",1,"20.056657, -104.098026"
"July 23, 2015",1,"19.316672, 33.031923"
"July 23, 2015",7,"22.74454, 22.352479"
"July 23, 2015",40,"34.2345, 14.7437"
"July 24, 2015",1,"51.0960291, 1.037927"
"July 24, 2015",1,"50.0035406, 2.171916"
"July 24, 2015",1,"50.9264539, 1.796832"
"July 27, 2015",14,"34.2345, 14.7437"
"July 27, 2015",1,"50.9513, 1.85869"
"July 28, 2015",2,"28.2597513, -100.245529"
"July 28, 2015",1,"32.6762497, -115.486683"
"July 28, 2015",1,"32.2658, -113.0729"
"July 29, 2015",1,"31.630183, -111.992767"
"July 29, 2015",1,"50.9513, 1.85869"
"July 29, 2015",1,"27.4954268, -99.514468"
"July 30, 2015",1,"32.065733, -111.600967"
"July 30, 2015",1,"31.845495, -110.61481"
"July 31, 2015",1,"31.46345, -110.98145"
"July 1, 2015",1,"31.3636669, 10.233956"
"July 1, 2015",3,"20.424268, 26.166021"
